year_month,anomaly_c,lower_ci,upper_ci
1873-08,-0.2166087,-0.42178366,-0.011433766
1873-09,-0.37763196,-0.5784077,-0.17685616
1873-10,-0.3765355,-0.55265987,-0.20041117
1873-11,-0.42933893,-0.6297212,-0.22895664
1873-12,-0.31950906,-0.58597094,-0.05304716
1874-01,-0.1817292,-0.434868,0.07140963
1874-02,-0.4286057,-0.66775763,-0.18945377
1874-03,-0.6642841,-0.91904926,-0.4095189
1874-04,-0.42153412,-0.63800234,-0.20506594
1874-05,-0.31077743,-0.5654389,-0.056115888
1874-06,-0.55560213,-0.7852175,-0.32598677
1874-07,-0.17058668,-0.38423198,0.043058608
1874-08,-0.28745487,-0.51789427,-0.05701544
1874-09,-0.159738,-0.34752852,0.028052537
1874-10,-0.46680322,-0.6388604,-0.29474607
1874-11,-0.42181873,-0.63448495,-0.20915252
1874-12,-0.31600064,-0.56745553,-0.06454575
1875-01,-0.5755957,-0.7977565,-0.3534349
1875-02,-0.44269317,-0.6788354,-0.20655093
1875-03,-0.5591616,-0.788076,-0.33024716
1875-04,-0.34027356,-0.5505477,-0.12999938
1875-05,-0.2511827,-0.45426282,-0.048102606
1875-06,-0.26499686,-0.48231226,-0.04768148
1875-07,-0.18092534,-0.38272128,0.020870605
1875-08,-0.22718474,-0.45744786,0.0030783683
1875-09,-0.23680477,-0.4433207,-0.030288834
1875-10,-0.22968538,-0.40408584,-0.055284914
1875-11,-0.50699466,-0.7188122,-0.29517713
1875-12,-0.58547246,-0.81071967,-0.36022523
1876-01,-0.5027444,-0.719786,-0.28570282
1876-02,-0.32757896,-0.5495328,-0.105625175
1876-03,-0.33786327,-0.6086782,-0.06704828
1876-04,-0.3943021,-0.6251207,-0.16348347
1876-05,-0.5481547,-0.76546615,-0.33084324
1876-06,-0.3242113,-0.5456288,-0.102793835
1876-07,-0.2005931,-0.39950466,-0.0016815491
1876-08,-0.3256503,-0.564091,-0.087209545
1876-09,-0.43575472,-0.65873355,-0.21277589
1876-10,-0.30573153,-0.48695228,-0.12451079
1876-11,-0.60075325,-0.80842966,-0.39307678
1876-12,-0.6268187,-0.8792602,-0.37437722
1877-01,-0.40895006,-0.6173381,-0.20056199
1877-02,-0.19476254,-0.410467,0.020941915
1877-03,-0.070242554,-0.28864074,0.14815563
1877-04,-0.31577286,-0.5206445,-0.11090123
1877-05,-0.4034899,-0.6062729,-0.20070691
1877-06,-0.10945276,-0.32473576,0.10583022
1877-07,0.01661418,-0.19406219,0.22729054
1877-08,0.22973092,0.007991459,0.45147038
1877-09,0.12743135,-0.058021486,0.31288418
1877-10,0.12457402,-0.06453736,0.3136854
1877-11,0.042961337,-0.14522848,0.23115115
1877-12,-0.02773318,-0.2608343,0.20536794
1878-01,-0.040545285,-0.23462528,0.15353471
1878-02,0.2611604,0.042761754,0.47955906
1878-03,0.40298346,0.1619425,0.6440244
1878-04,0.2096044,0.017211493,0.4019973
1878-05,-0.09169709,-0.30083966,0.117445484
1878-06,0.018226331,-0.1980319,0.23448457
1878-07,-0.06168844,-0.2675153,0.14413843
1878-08,-0.044937383,-0.26142743,0.17155266
1878-09,0.027774988,-0.15661445,0.21216442
1878-10,-0.14774789,-0.32026845,0.024772657
1878-11,-0.11894861,-0.32235718,0.084459975
1878-12,-0.29041678,-0.5195607,-0.061272867
1879-01,-0.21224488,-0.42210096,-0.0023887902
1879-02,-0.23732424,-0.46135646,-0.013292004
1879-03,-0.2468275,-0.470907,-0.022747971
1879-04,-0.35663566,-0.5625398,-0.15073153
1879-05,-0.33014044,-0.5183897,-0.14189115
1879-06,-0.24984536,-0.44244912,-0.057241578
1879-07,-0.27273142,-0.46734816,-0.078114726
1879-08,-0.26216966,-0.47717032,-0.047168985
1879-09,-0.22895597,-0.41419935,-0.043712575
1879-10,-0.15026024,-0.32801908,0.027498592
1879-11,-0.375377,-0.6020566,-0.14869735
1879-12,-0.5423144,-0.80282474,-0.281804
1880-01,-0.38161263,-0.589812,-0.17341329
1880-02,-0.43311024,-0.63907766,-0.22714278
1880-03,-0.18159075,-0.42100507,0.05782356
1880-04,-0.32494053,-0.55532116,-0.09455989
1880-05,-0.3183276,-0.5164459,-0.120209366
1880-06,-0.36678445,-0.55679786,-0.17677107
1880-07,-0.32001582,-0.5032326,-0.13679902
1880-08,-0.09490704,-0.3030832,0.11326911
1880-09,-0.28835458,-0.4695822,-0.10712694
1880-10,-0.37529442,-0.52489156,-0.22569732
1880-11,-0.25912246,-0.4667687,-0.05147625
1880-12,-0.29402268,-0.5530738,-0.034971487
1881-01,-0.17389436,-0.37669387,0.028905151
1881-02,-0.19964735,-0.41304758,0.0137528805
1881-03,-0.21539329,-0.43857938,0.0077927844
1881-04,-0.053380866,-0.23501532,0.12825358
1881-05,-0.09867079,-0.29659855,0.09925699
1881-06,-0.3896171,-0.59450996,-0.18472421
1881-07,-0.18268445,-0.37351665,0.008147732
